"fork_length","dead","weight","count","r_catch","interp","age_class","brood_year","subsample","common_name","life_stage","station_code","sample_date","sample_id","run","fws_run"
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
34,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-18,"322_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","yolk sac fry","UCC",2022-11-17,"321_22","Spring",NA
35,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-20,"324_22","Spring",NA
77,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","LCC",2022-11-17,"321_21","not provided",NA
135,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-11-13,"317_22","not provided",NA
35,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Rainbow Trout","fry","UBC",2022-11-04,"308_22","not provided",NA
31,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-17,"321_22","Spring",NA
105,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-04,"308_22","not provided",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-16,"320_22","Spring",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
124,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-10,"314_22","not provided",NA
43,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-11-08,"312_22","not provided",NA
111,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-11-15,"319_22","not provided",NA
126,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-14,"318_22","not provided",NA
43,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-10-04,"277_22","not provided",NA
36,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-11-10,"314_22","not provided",NA
35,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
31,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-18,"322_22","Spring",NA
