site,release_id,date_recaptured,number_recaptured,median_fork_length_recaptured
Upper Battle Creek,BAT96,2004-01-15,15,36
Upper Battle Creek,BAT96,2004-01-16,0,NA
Upper Battle Creek,BAT96,2004-01-17,0,NA
Upper Battle Creek,BAT96,2004-01-18,0,NA
Upper Battle Creek,BAT96,2004-01-19,0,NA
Upper Battle Creek,BAT97,2004-01-28,35,36
Upper Battle Creek,BAT97,2004-01-29,0,NA
Upper Battle Creek,BAT97,2004-01-30,0,NA
Upper Battle Creek,BAT97,2004-01-31,0,NA
Upper Battle Creek,BAT97,2004-02-01,0,NA
Upper Battle Creek,BAT98,2004-01-31,52,38
Upper Battle Creek,BAT98,2004-02-01,1,38
Upper Battle Creek,BAT98,2004-02-02,0,NA
Upper Battle Creek,BAT98,2004-02-03,NA,NA
Upper Battle Creek,BAT98,2004-02-04,0,NA
Upper Battle Creek,BAT99,2004-02-07,19,38
Upper Battle Creek,BAT99,2004-02-08,2,38
Upper Battle Creek,BAT99,2004-02-09,0,NA
Upper Battle Creek,BAT99,2004-02-10,0,NA
Upper Battle Creek,BAT99,2004-02-11,0,NA
Upper Battle Creek,BAT100,2004-02-11,39,38
Upper Battle Creek,BAT100,2004-02-12,0,NA
Upper Battle Creek,BAT100,2004-02-13,2,38
Upper Battle Creek,BAT100,2004-02-14,0,NA
Upper Battle Creek,BAT100,2004-02-15,0,NA
Upper Battle Creek,BAT101,2004-02-14,45,37
Upper Battle Creek,BAT101,2004-02-15,0,NA
Upper Battle Creek,BAT101,2004-02-16,0,NA
Upper Battle Creek,BAT101,2004-02-17,NA,NA
Upper Battle Creek,BAT101,2004-02-18,NA,NA
Upper Battle Creek,BAT102,2004-02-25,18,38
Upper Battle Creek,BAT102,2004-02-26,NA,NA
Upper Battle Creek,BAT102,2004-02-27,NA,NA
Upper Battle Creek,BAT102,2004-02-28,0,NA
Upper Battle Creek,BAT102,2004-02-29,1,38
Upper Battle Creek,BAT103,2004-03-06,25,37
Upper Battle Creek,BAT103,2004-03-07,2,37
Upper Battle Creek,BAT103,2004-03-08,0,NA
Upper Battle Creek,BAT103,2004-03-09,0,NA
Upper Battle Creek,BAT103,2004-03-10,0,NA
Upper Battle Creek,BAT104,2004-03-10,27,36
Upper Battle Creek,BAT104,2004-03-11,0,NA
Upper Battle Creek,BAT104,2004-03-12,0,NA
Upper Battle Creek,BAT104,2004-03-13,0,NA
Upper Battle Creek,BAT104,2004-03-14,0,NA
Upper Battle Creek,BAT105,2004-03-13,45,37
Upper Battle Creek,BAT105,2004-03-14,0,NA
Upper Battle Creek,BAT105,2004-03-15,0,NA
Upper Battle Creek,BAT105,2004-03-16,0,NA
Upper Battle Creek,BAT105,2004-03-17,0,NA
Upper Battle Creek,BAT106,2004-03-27,24,37
Upper Battle Creek,BAT106,2004-03-28,2,37
Upper Battle Creek,BAT106,2004-03-29,0,NA
Upper Battle Creek,BAT106,2004-03-30,0,NA
Upper Battle Creek,BAT106,2004-03-31,0,NA
Upper Battle Creek,BAT107,2004-04-03,6,52
Upper Battle Creek,BAT107,2004-04-04,0,NA
Upper Battle Creek,BAT107,2004-04-05,0,NA
Upper Battle Creek,BAT107,2004-04-06,0,NA
Upper Battle Creek,BAT107,2004-04-07,0,NA
Upper Battle Creek,BAT108,2004-04-10,2,68
Upper Battle Creek,BAT108,2004-04-11,0,NA
Upper Battle Creek,BAT108,2004-04-12,0,NA
Upper Battle Creek,BAT108,2004-04-13,0,NA
Upper Battle Creek,BAT108,2004-04-14,0,NA
Upper Battle Creek,BAT109,2004-04-17,11,66
Upper Battle Creek,BAT109,2004-04-18,1,66
Upper Battle Creek,BAT109,2004-04-19,0,NA
Upper Battle Creek,BAT109,2004-04-20,0,NA
Upper Battle Creek,BAT109,2004-04-21,0,NA
Upper Battle Creek,BAT110,2005-01-05,2,37
Upper Battle Creek,BAT110,2005-01-06,2,37
Upper Battle Creek,BAT110,2005-01-07,0,NA
Upper Battle Creek,BAT110,2005-01-08,0,NA
Upper Battle Creek,BAT110,2005-01-09,0,NA
Upper Battle Creek,BAT111,2005-01-12,1,37
Upper Battle Creek,BAT111,2005-01-13,0,NA
Upper Battle Creek,BAT111,2005-01-14,0,NA
Upper Battle Creek,BAT111,2005-01-15,0,NA
Upper Battle Creek,BAT111,2005-01-16,0,NA
Upper Battle Creek,BAT112,2005-01-15,5,34
Upper Battle Creek,BAT112,2005-01-16,0,NA
Upper Battle Creek,BAT112,2005-01-17,0,NA
Upper Battle Creek,BAT112,2005-01-18,0,NA
Upper Battle Creek,BAT112,2005-01-19,0,NA
Upper Battle Creek,BAT113,2005-01-22,14,36
Upper Battle Creek,BAT113,2005-01-23,2,36
Upper Battle Creek,BAT113,2005-01-24,0,NA
Upper Battle Creek,BAT113,2005-01-25,0,NA
Upper Battle Creek,BAT113,2005-01-26,0,NA
Upper Battle Creek,BAT114,2005-01-26,6,36
Upper Battle Creek,BAT114,2005-01-27,NA,NA
Upper Battle Creek,BAT114,2005-01-28,0,NA
Upper Battle Creek,BAT114,2005-01-29,0,NA
Upper Battle Creek,BAT114,2005-01-30,0,NA
Upper Battle Creek,BAT115,2005-01-29,11,36
Upper Battle Creek,BAT115,2005-01-30,0,NA
Upper Battle Creek,BAT115,2005-01-31,0,NA
Upper Battle Creek,BAT115,2005-02-01,0,NA
Upper Battle Creek,BAT115,2005-02-02,0,NA
Upper Battle Creek,BAT116,2005-02-02,10,37
Upper Battle Creek,BAT116,2005-02-03,0,NA
Upper Battle Creek,BAT116,2005-02-04,1,37
Upper Battle Creek,BAT116,2005-02-05,0,NA
Upper Battle Creek,BAT116,2005-02-06,0,NA
Upper Battle Creek,BAT117,2005-02-05,6,37
Upper Battle Creek,BAT117,2005-02-06,7,37
Upper Battle Creek,BAT117,2005-02-07,1,37
Upper Battle Creek,BAT117,2005-02-08,0,NA
Upper Battle Creek,BAT117,2005-02-09,0,NA
Upper Battle Creek,BAT118,2005-02-09,14,37
Upper Battle Creek,BAT118,2005-02-10,0,NA
Upper Battle Creek,BAT118,2005-02-11,0,NA
Upper Battle Creek,BAT118,2005-02-12,0,NA
Upper Battle Creek,BAT118,2005-02-13,0,NA
Upper Battle Creek,BAT119,2005-02-12,19,37
Upper Battle Creek,BAT119,2005-02-13,2,37
Upper Battle Creek,BAT119,2005-02-14,0,NA
Upper Battle Creek,BAT119,2005-02-15,0,NA
Upper Battle Creek,BAT119,2005-02-16,0,NA
Upper Battle Creek,BAT120,2005-02-16,33,37
Upper Battle Creek,BAT120,2005-02-17,1,37
Upper Battle Creek,BAT120,2005-02-18,0,NA
Upper Battle Creek,BAT120,2005-02-19,0,NA
Upper Battle Creek,BAT120,2005-02-20,0,NA
Upper Battle Creek,BAT121,2005-02-19,30,36
Upper Battle Creek,BAT121,2005-02-20,1,36
Upper Battle Creek,BAT121,2005-02-21,0,NA
Upper Battle Creek,BAT121,2005-02-22,0,NA
Upper Battle Creek,BAT121,2005-02-23,0,NA
Upper Battle Creek,BAT122,2005-02-23,32,37
Upper Battle Creek,BAT122,2005-02-24,2,37
Upper Battle Creek,BAT122,2005-02-25,0,NA
Upper Battle Creek,BAT122,2005-02-26,0,NA
Upper Battle Creek,BAT122,2005-02-27,0,NA
Upper Battle Creek,BAT123,2005-02-26,32,36
Upper Battle Creek,BAT123,2005-02-27,3,36
Upper Battle Creek,BAT123,2005-02-28,0,NA
Upper Battle Creek,BAT123,2005-03-01,0,NA
Upper Battle Creek,BAT123,2005-03-02,0,NA
Upper Battle Creek,BAT124,2005-03-02,19,36
Upper Battle Creek,BAT124,2005-03-03,0,NA
Upper Battle Creek,BAT124,2005-03-04,0,NA
Upper Battle Creek,BAT124,2005-03-05,0,NA
Upper Battle Creek,BAT124,2005-03-06,0,NA
Upper Battle Creek,BAT125,2005-03-05,14,35
Upper Battle Creek,BAT125,2005-03-06,0,NA
Upper Battle Creek,BAT125,2005-03-07,0,NA
Upper Battle Creek,BAT125,2005-03-08,0,NA
Upper Battle Creek,BAT125,2005-03-09,0,NA
Upper Battle Creek,BAT126,2005-03-09,41,36
Upper Battle Creek,BAT126,2005-03-10,0,NA
Upper Battle Creek,BAT126,2005-03-11,0,NA
Upper Battle Creek,BAT126,2005-03-12,0,NA
Upper Battle Creek,BAT126,2005-03-13,0,NA
Upper Battle Creek,BAT127,2005-03-12,26,37
Upper Battle Creek,BAT127,2005-03-13,1,37
Upper Battle Creek,BAT127,2005-03-14,0,NA
Upper Battle Creek,BAT127,2005-03-15,0,NA
Upper Battle Creek,BAT127,2005-03-16,0,NA
Upper Battle Creek,BAT128,2005-03-16,18,36
Upper Battle Creek,BAT128,2005-03-17,3,36
Upper Battle Creek,BAT128,2005-03-18,0,NA
Upper Battle Creek,BAT128,2005-03-19,0,NA
Upper Battle Creek,BAT128,2005-03-20,0,NA
Upper Battle Creek,BAT129,2005-03-23,4,36
Upper Battle Creek,BAT129,2005-03-24,0,NA
Upper Battle Creek,BAT129,2005-03-25,0,NA
Upper Battle Creek,BAT129,2005-03-26,0,NA
Upper Battle Creek,BAT129,2005-03-27,0,NA
Upper Battle Creek,BAT130,2005-03-26,0,NA
Upper Battle Creek,BAT130,2005-03-27,2,39
Upper Battle Creek,BAT130,2005-03-28,0,NA
Upper Battle Creek,BAT130,2005-03-29,0,NA
Upper Battle Creek,BAT130,2005-03-30,0,NA
Upper Battle Creek,BAT131,2005-04-02,8,38
Upper Battle Creek,BAT131,2005-04-03,1,38
Upper Battle Creek,BAT131,2005-04-04,0,NA
Upper Battle Creek,BAT131,2005-04-05,0,NA
Upper Battle Creek,BAT131,2005-04-06,0,NA
Upper Battle Creek,BAT132,2005-04-06,3,43
Upper Battle Creek,BAT132,2005-04-07,0,NA
Upper Battle Creek,BAT132,2005-04-08,1,43
Upper Battle Creek,BAT132,2005-04-09,0,NA
Upper Battle Creek,BAT132,2005-04-10,0,NA
Upper Battle Creek,BAT133,2005-04-09,17,47
Upper Battle Creek,BAT133,2005-04-10,3,47
Upper Battle Creek,BAT133,2005-04-11,0,NA
Upper Battle Creek,BAT133,2005-04-12,0,NA
Upper Battle Creek,BAT133,2005-04-13,0,NA
Upper Battle Creek,BAT134,2005-04-13,10,49
Upper Battle Creek,BAT134,2005-04-14,1,49
Upper Battle Creek,BAT134,2005-04-15,1,49
Upper Battle Creek,BAT134,2005-04-16,0,NA
Upper Battle Creek,BAT134,2005-04-17,0,NA
Upper Battle Creek,BAT135,2005-04-16,11,49
Upper Battle Creek,BAT135,2005-04-17,2,49
Upper Battle Creek,BAT135,2005-04-18,0,NA
Upper Battle Creek,BAT135,2005-04-19,0,NA
Upper Battle Creek,BAT135,2005-04-20,0,NA
Upper Battle Creek,BAT136,2005-04-20,7,41
Upper Battle Creek,BAT136,2005-04-21,0,NA
Upper Battle Creek,BAT136,2005-04-22,0,NA
Upper Battle Creek,BAT136,2005-04-23,0,NA
Upper Battle Creek,BAT136,2005-04-24,0,NA
Upper Battle Creek,BAT137,2005-04-30,2,36
Upper Battle Creek,BAT137,2005-05-01,0,NA
Upper Battle Creek,BAT137,2005-05-02,0,NA
Upper Battle Creek,BAT137,2005-05-03,0,NA
Upper Battle Creek,BAT137,2005-05-04,0,NA
Upper Battle Creek,BAT138,2005-05-07,4,34
Upper Battle Creek,BAT138,2005-05-08,0,NA
Upper Battle Creek,BAT138,2005-05-09,0,NA
Upper Battle Creek,BAT138,2005-05-10,NA,NA
Upper Battle Creek,BAT138,2005-05-11,0,NA
Upper Battle Creek,BAT139,2005-03-16,0,NA
Upper Battle Creek,BAT139,2005-03-17,1,38
Upper Battle Creek,BAT139,2005-03-18,0,NA
Upper Battle Creek,BAT139,2005-03-19,NA,NA
Upper Battle Creek,BAT139,2005-03-20,0,NA
Upper Battle Creek,BAT140,2006-02-01,3,35
Upper Battle Creek,BAT140,2006-02-02,NA,NA
Upper Battle Creek,BAT140,2006-02-03,NA,NA
Upper Battle Creek,BAT140,2006-02-04,NA,NA
Upper Battle Creek,BAT140,2006-02-05,NA,NA
Upper Battle Creek,BAT141,2006-02-08,6,37
Upper Battle Creek,BAT141,2006-02-09,4,37
Upper Battle Creek,BAT141,2006-02-10,1,37
Upper Battle Creek,BAT141,2006-02-11,0,NA
Upper Battle Creek,BAT141,2006-02-12,0,NA
Upper Battle Creek,BAT142,2006-02-11,8,37
Upper Battle Creek,BAT142,2006-02-12,0,NA
Upper Battle Creek,BAT142,2006-02-13,0,NA
Upper Battle Creek,BAT142,2006-02-14,0,NA
Upper Battle Creek,BAT142,2006-02-15,0,NA
Upper Battle Creek,BAT143,2006-02-18,11,36
Upper Battle Creek,BAT143,2006-02-19,1,36
Upper Battle Creek,BAT143,2006-02-20,0,NA
Upper Battle Creek,BAT143,2006-02-21,0,NA
Upper Battle Creek,BAT143,2006-02-22,0,NA
Upper Battle Creek,BAT144,2006-02-25,13,36
Upper Battle Creek,BAT144,2006-02-26,3,36
Upper Battle Creek,BAT144,2006-02-27,0,NA
Upper Battle Creek,BAT144,2006-02-28,NA,NA
Upper Battle Creek,BAT144,2006-03-01,NA,NA
Upper Battle Creek,BAT145,2006-03-22,11,36
Upper Battle Creek,BAT145,2006-03-23,1,36
Upper Battle Creek,BAT145,2006-03-24,0,NA
Upper Battle Creek,BAT145,2006-03-25,0,NA
Upper Battle Creek,BAT145,2006-03-26,NA,NA
Upper Battle Creek,BAT146,2007-12-30,5,39
Upper Battle Creek,BAT146,2007-12-31,1,39
Upper Battle Creek,BAT146,2008-01-01,0,NA
Upper Battle Creek,BAT146,2008-01-02,0,NA
Upper Battle Creek,BAT146,2008-01-03,0,NA
Upper Battle Creek,BAT147,2008-01-02,1,37
Upper Battle Creek,BAT147,2008-01-03,2,37
Upper Battle Creek,BAT147,2008-01-04,1,37
Upper Battle Creek,BAT147,2008-01-05,NA,NA
Upper Battle Creek,BAT147,2008-01-06,NA,NA
Upper Battle Creek,BAT148,2008-01-10,16,39
Upper Battle Creek,BAT148,2008-01-11,3,39
Upper Battle Creek,BAT148,2008-01-12,0,NA
Upper Battle Creek,BAT148,2008-01-13,0,NA
Upper Battle Creek,BAT148,2008-01-14,0,NA
Upper Battle Creek,BAT149,2008-01-10,13,37
Upper Battle Creek,BAT149,2008-01-11,1,37
Upper Battle Creek,BAT149,2008-01-12,0,NA
Upper Battle Creek,BAT149,2008-01-13,0,NA
Upper Battle Creek,BAT149,2008-01-14,0,NA
Upper Battle Creek,BAT150,2008-01-13,7,37
Upper Battle Creek,BAT150,2008-01-14,2,37
Upper Battle Creek,BAT150,2008-01-15,0,NA
Upper Battle Creek,BAT150,2008-01-16,0,NA
Upper Battle Creek,BAT150,2008-01-17,0,NA
Upper Battle Creek,BAT151,2008-01-13,11,36
Upper Battle Creek,BAT151,2008-01-14,1,36
Upper Battle Creek,BAT151,2008-01-15,0,NA
Upper Battle Creek,BAT151,2008-01-16,0,NA
Upper Battle Creek,BAT151,2008-01-17,0,NA
Upper Battle Creek,BAT152,2008-01-16,3,37
Upper Battle Creek,BAT152,2008-01-17,2,37
Upper Battle Creek,BAT152,2008-01-18,0,NA
Upper Battle Creek,BAT152,2008-01-19,0,NA
Upper Battle Creek,BAT152,2008-01-20,0,NA
Upper Battle Creek,BAT153,2008-01-16,17,38
Upper Battle Creek,BAT153,2008-01-17,2,38
Upper Battle Creek,BAT153,2008-01-18,0,NA
Upper Battle Creek,BAT153,2008-01-19,1,38
Upper Battle Creek,BAT153,2008-01-20,0,NA
Upper Battle Creek,BAT154,2008-01-20,4,38
Upper Battle Creek,BAT154,2008-01-21,1,38
Upper Battle Creek,BAT154,2008-01-22,0,NA
Upper Battle Creek,BAT154,2008-01-23,0,NA
Upper Battle Creek,BAT154,2008-01-24,0,NA
Upper Battle Creek,BAT155,2008-01-20,16,37
Upper Battle Creek,BAT155,2008-01-21,1,37
Upper Battle Creek,BAT155,2008-01-22,2,37
Upper Battle Creek,BAT155,2008-01-23,0,NA
Upper Battle Creek,BAT155,2008-01-24,0,NA
Upper Battle Creek,BAT156,2008-01-24,8,38
Upper Battle Creek,BAT156,2008-01-25,0,NA
Upper Battle Creek,BAT156,2008-01-26,1,38
Upper Battle Creek,BAT156,2008-01-27,NA,NA
Upper Battle Creek,BAT156,2008-01-28,0,NA
Upper Battle Creek,BAT157,2008-01-24,12,38
Upper Battle Creek,BAT157,2008-01-25,1,38
Upper Battle Creek,BAT157,2008-01-26,0,NA
Upper Battle Creek,BAT157,2008-01-27,NA,NA
Upper Battle Creek,BAT157,2008-01-28,0,NA
Upper Battle Creek,BAT158,2008-01-28,2,40
Upper Battle Creek,BAT158,2008-01-29,0,NA
Upper Battle Creek,BAT158,2008-01-30,0,NA
Upper Battle Creek,BAT158,2008-01-31,0,NA
Upper Battle Creek,BAT158,2008-02-01,0,NA
Upper Battle Creek,BAT159,2008-01-28,2,38
Upper Battle Creek,BAT159,2008-01-29,0,NA
Upper Battle Creek,BAT159,2008-01-30,0,NA
Upper Battle Creek,BAT159,2008-01-31,0,NA
Upper Battle Creek,BAT159,2008-02-01,0,NA
Upper Battle Creek,BAT160,2008-01-30,20,39
Upper Battle Creek,BAT160,2008-01-31,0,NA
Upper Battle Creek,BAT160,2008-02-01,0,NA
Upper Battle Creek,BAT160,2008-02-02,0,NA
Upper Battle Creek,BAT160,2008-02-03,0,NA
Upper Battle Creek,BAT161,2008-01-30,14,38
Upper Battle Creek,BAT161,2008-01-31,1,38
Upper Battle Creek,BAT161,2008-02-01,0,NA
Upper Battle Creek,BAT161,2008-02-02,0,NA
Upper Battle Creek,BAT161,2008-02-03,0,NA
Upper Battle Creek,BAT162,2008-02-04,3,41
Upper Battle Creek,BAT162,2008-02-05,1,41
Upper Battle Creek,BAT162,2008-02-06,0,NA
Upper Battle Creek,BAT162,2008-02-07,0,NA
Upper Battle Creek,BAT162,2008-02-08,0,NA
Upper Battle Creek,BAT163,2008-02-04,1,38
Upper Battle Creek,BAT163,2008-02-05,3,38
Upper Battle Creek,BAT163,2008-02-06,0,NA
Upper Battle Creek,BAT163,2008-02-07,0,NA
Upper Battle Creek,BAT163,2008-02-08,0,NA
Upper Battle Creek,BAT164,2008-02-06,7,40
Upper Battle Creek,BAT164,2008-02-07,0,NA
Upper Battle Creek,BAT164,2008-02-08,0,NA
Upper Battle Creek,BAT164,2008-02-09,0,NA
Upper Battle Creek,BAT164,2008-02-10,0,NA
Upper Battle Creek,BAT165,2008-02-06,9,39
Upper Battle Creek,BAT165,2008-02-07,0,NA
Upper Battle Creek,BAT165,2008-02-08,0,NA
Upper Battle Creek,BAT165,2008-02-09,0,NA
Upper Battle Creek,BAT165,2008-02-10,0,NA
Upper Battle Creek,BAT166,2008-02-10,4,39
Upper Battle Creek,BAT166,2008-02-11,1,39
Upper Battle Creek,BAT166,2008-02-12,0,NA
Upper Battle Creek,BAT166,2008-02-13,0,NA
Upper Battle Creek,BAT166,2008-02-14,0,NA
Upper Battle Creek,BAT167,2008-02-10,8,38
Upper Battle Creek,BAT167,2008-02-11,1,38
Upper Battle Creek,BAT167,2008-02-12,0,NA
Upper Battle Creek,BAT167,2008-02-13,0,NA
Upper Battle Creek,BAT167,2008-02-14,0,NA
Upper Battle Creek,BAT168,2008-02-13,5,39
Upper Battle Creek,BAT168,2008-02-14,0,NA
Upper Battle Creek,BAT168,2008-02-15,1,39
Upper Battle Creek,BAT168,2008-02-16,0,NA
Upper Battle Creek,BAT168,2008-02-17,0,NA
Upper Battle Creek,BAT169,2008-02-13,11,38
Upper Battle Creek,BAT169,2008-02-14,0,NA
Upper Battle Creek,BAT169,2008-02-15,0,NA
Upper Battle Creek,BAT169,2008-02-16,0,NA
Upper Battle Creek,BAT169,2008-02-17,0,NA
Upper Battle Creek,BAT170,2008-02-17,24,38
Upper Battle Creek,BAT170,2008-02-18,2,38
Upper Battle Creek,BAT170,2008-02-19,0,NA
Upper Battle Creek,BAT170,2008-02-20,0,NA
Upper Battle Creek,BAT170,2008-02-21,0,NA
Upper Battle Creek,BAT171,2008-02-17,47,38
Upper Battle Creek,BAT171,2008-02-18,2,38
Upper Battle Creek,BAT171,2008-02-19,0,NA
Upper Battle Creek,BAT171,2008-02-20,0,NA
Upper Battle Creek,BAT171,2008-02-21,0,NA
Upper Battle Creek,BAT172,2008-02-21,3,38
Upper Battle Creek,BAT172,2008-02-22,0,NA
Upper Battle Creek,BAT172,2008-02-23,0,NA
Upper Battle Creek,BAT172,2008-02-24,0,NA
Upper Battle Creek,BAT172,2008-02-25,NA,NA
Upper Battle Creek,BAT173,2008-02-21,10,38
Upper Battle Creek,BAT173,2008-02-22,1,38
Upper Battle Creek,BAT173,2008-02-23,0,NA
Upper Battle Creek,BAT173,2008-02-24,0,NA
Upper Battle Creek,BAT173,2008-02-25,NA,NA
Upper Battle Creek,BAT174,2008-02-23,4,38
Upper Battle Creek,BAT174,2008-02-24,0,NA
Upper Battle Creek,BAT174,2008-02-25,NA,NA
Upper Battle Creek,BAT174,2008-02-26,0,NA
Upper Battle Creek,BAT174,2008-02-27,0,NA
Upper Battle Creek,BAT175,2008-02-23,11,38
Upper Battle Creek,BAT175,2008-02-24,0,NA
Upper Battle Creek,BAT175,2008-02-25,NA,NA
Upper Battle Creek,BAT175,2008-02-26,0,NA
Upper Battle Creek,BAT175,2008-02-27,0,NA
Upper Battle Creek,BAT176,2008-02-27,2,37
Upper Battle Creek,BAT176,2008-02-28,1,37
Upper Battle Creek,BAT176,2008-02-29,0,NA
Upper Battle Creek,BAT176,2008-03-01,0,NA
Upper Battle Creek,BAT176,2008-03-02,0,NA
Upper Battle Creek,BAT177,2008-02-27,12,38
Upper Battle Creek,BAT177,2008-02-28,0,NA
Upper Battle Creek,BAT177,2008-02-29,0,NA
Upper Battle Creek,BAT177,2008-03-01,0,NA
Upper Battle Creek,BAT177,2008-03-02,0,NA
Upper Battle Creek,BAT178,2008-03-02,6,39
Upper Battle Creek,BAT178,2008-03-03,0,NA
Upper Battle Creek,BAT178,2008-03-04,0,NA
Upper Battle Creek,BAT178,2008-03-05,0,NA
Upper Battle Creek,BAT178,2008-03-06,0,NA
Upper Battle Creek,BAT179,2008-03-02,14,37
Upper Battle Creek,BAT179,2008-03-03,0,NA
Upper Battle Creek,BAT179,2008-03-04,0,NA
Upper Battle Creek,BAT179,2008-03-05,0,NA
Upper Battle Creek,BAT179,2008-03-06,0,NA
Upper Battle Creek,BAT180,2008-03-05,5,39
Upper Battle Creek,BAT180,2008-03-06,0,NA
Upper Battle Creek,BAT180,2008-03-07,0,NA
Upper Battle Creek,BAT180,2008-03-08,0,NA
Upper Battle Creek,BAT180,2008-03-09,0,NA
Upper Battle Creek,BAT181,2008-03-05,2,39
Upper Battle Creek,BAT181,2008-03-06,0,NA
Upper Battle Creek,BAT181,2008-03-07,0,NA
Upper Battle Creek,BAT181,2008-03-08,0,NA
Upper Battle Creek,BAT181,2008-03-09,0,NA
Upper Battle Creek,BAT182,2008-03-09,6,38
Upper Battle Creek,BAT182,2008-03-10,2,38
Upper Battle Creek,BAT182,2008-03-11,0,NA
Upper Battle Creek,BAT182,2008-03-12,0,NA
Upper Battle Creek,BAT182,2008-03-13,0,NA
Upper Battle Creek,BAT183,2008-03-09,5,37
Upper Battle Creek,BAT183,2008-03-10,1,37
Upper Battle Creek,BAT183,2008-03-11,0,NA
Upper Battle Creek,BAT183,2008-03-12,0,NA
Upper Battle Creek,BAT183,2008-03-13,0,NA
Upper Battle Creek,BAT184,2008-03-12,3,40
Upper Battle Creek,BAT184,2008-03-13,0,NA
Upper Battle Creek,BAT184,2008-03-14,0,NA
Upper Battle Creek,BAT184,2008-03-15,0,NA
Upper Battle Creek,BAT184,2008-03-16,0,NA
Upper Battle Creek,BAT185,2008-03-12,4,37
Upper Battle Creek,BAT185,2008-03-13,0,NA
Upper Battle Creek,BAT185,2008-03-14,0,NA
Upper Battle Creek,BAT185,2008-03-15,0,NA
Upper Battle Creek,BAT185,2008-03-16,0,NA
Upper Battle Creek,BAT186,2008-03-16,11,43
Upper Battle Creek,BAT186,2008-03-17,2,43
Upper Battle Creek,BAT186,2008-03-18,1,43
Upper Battle Creek,BAT186,2008-03-19,0,NA
Upper Battle Creek,BAT186,2008-03-20,0,NA
Upper Battle Creek,BAT187,2008-03-16,2,36
Upper Battle Creek,BAT187,2008-03-17,1,36
Upper Battle Creek,BAT187,2008-03-18,0,NA
Upper Battle Creek,BAT187,2008-03-19,0,NA
Upper Battle Creek,BAT187,2008-03-20,0,NA
Upper Battle Creek,BAT188,2008-03-19,17,43
Upper Battle Creek,BAT188,2008-03-20,2,43
Upper Battle Creek,BAT188,2008-03-21,0,NA
Upper Battle Creek,BAT188,2008-03-22,0,NA
Upper Battle Creek,BAT188,2008-03-23,0,NA
Upper Battle Creek,BAT189,2008-03-19,19,36
Upper Battle Creek,BAT189,2008-03-20,0,NA
Upper Battle Creek,BAT189,2008-03-21,1,36
Upper Battle Creek,BAT189,2008-03-22,0,NA
Upper Battle Creek,BAT189,2008-03-23,0,NA
Upper Battle Creek,BAT190,2008-03-23,6,45
Upper Battle Creek,BAT190,2008-03-24,2,45
Upper Battle Creek,BAT190,2008-03-25,1,45
Upper Battle Creek,BAT190,2008-03-26,0,NA
Upper Battle Creek,BAT190,2008-03-27,0,NA
Upper Battle Creek,BAT191,2008-03-26,7,47
Upper Battle Creek,BAT191,2008-03-27,6,47
Upper Battle Creek,BAT191,2008-03-28,1,47
Upper Battle Creek,BAT191,2008-03-29,0,NA
Upper Battle Creek,BAT191,2008-03-30,0,NA
Upper Battle Creek,BAT192,2008-03-26,2,35
Upper Battle Creek,BAT192,2008-03-27,1,35
Upper Battle Creek,BAT192,2008-03-28,0,NA
Upper Battle Creek,BAT192,2008-03-29,0,NA
Upper Battle Creek,BAT192,2008-03-30,0,NA
Upper Battle Creek,BAT193,2008-03-30,8,53
Upper Battle Creek,BAT193,2008-03-31,1,53
Upper Battle Creek,BAT193,2008-04-01,1,53
Upper Battle Creek,BAT193,2008-04-02,0,NA
Upper Battle Creek,BAT193,2008-04-03,0,NA
Upper Battle Creek,BAT194,2008-04-02,7,51
Upper Battle Creek,BAT194,2008-04-03,3,51
Upper Battle Creek,BAT194,2008-04-04,0,NA
Upper Battle Creek,BAT194,2008-04-05,0,NA
Upper Battle Creek,BAT194,2008-04-06,0,NA
Upper Battle Creek,BAT195,2008-04-06,8,49
Upper Battle Creek,BAT195,2008-04-07,0,NA
Upper Battle Creek,BAT195,2008-04-08,2,49
Upper Battle Creek,BAT195,2008-04-09,0,NA
Upper Battle Creek,BAT195,2008-04-10,0,NA
Upper Battle Creek,BAT196,2008-04-09,32,52
Upper Battle Creek,BAT196,2008-04-10,1,52
Upper Battle Creek,BAT196,2008-04-11,0,NA
Upper Battle Creek,BAT196,2008-04-12,0,NA
Upper Battle Creek,BAT196,2008-04-13,0,NA
Upper Battle Creek,BAT197,2008-12-29,12,36
Upper Battle Creek,BAT197,2008-12-30,0,NA
Upper Battle Creek,BAT197,2008-12-31,0,NA
Upper Battle Creek,BAT197,2009-01-01,0,NA
Upper Battle Creek,BAT197,2009-01-02,0,NA
Upper Battle Creek,BAT198,2009-01-04,16,38
Upper Battle Creek,BAT198,2009-01-05,0,NA
Upper Battle Creek,BAT198,2009-01-06,0,NA
Upper Battle Creek,BAT198,2009-01-07,0,NA
Upper Battle Creek,BAT198,2009-01-08,0,NA
Upper Battle Creek,BAT199,2009-01-07,8,36
Upper Battle Creek,BAT199,2009-01-08,1,36
Upper Battle Creek,BAT199,2009-01-09,0,NA
Upper Battle Creek,BAT199,2009-01-10,1,36
Upper Battle Creek,BAT199,2009-01-11,0,NA
Upper Battle Creek,BAT200,2009-01-11,23,37
Upper Battle Creek,BAT200,2009-01-12,3,37
Upper Battle Creek,BAT200,2009-01-13,0,NA
