fork_length,dead,weight,count,fws_run,r_catch,interp,age_class,brood_year,subsample,common_name,life_stage,station_code,sample_date,sample_id,run
35,FALSE,0,1,S,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,UCC,2022-12-06,353_22,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-07,007_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-08,008_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-08,008_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-09,009_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-09,009_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-10,010_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-10,010_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-11,011_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-11,011_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-12,012_23,Fall
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-13,013_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-13,013_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-14,014_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-14,014_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-15,015_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-15,015_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-16,016_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-16,016_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-17,017_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-17,017_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-18,018_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-18,018_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-19,019_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-19,019_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-20,020_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-20,020_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-21,021_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-21,021_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-22,022_23,Fall
35,FALSE,0,1,F,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2022-12-08,342_22,Fall
37,FALSE,0,3,S,3,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,UCC,2022-11-25,329_22,Spring
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-22,022_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-23,023_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-23,023_23,Spring
0,FALSE,0,0,F,190,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-24,024_23,Fall
0,FALSE,0,0,S,3,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-01-24,024_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2022-12-30,364_22,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2022-12-31,365_22,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-01,001_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-03,003_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-04,004_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-05,005_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-06,006_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-07,007_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-08,008_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-09,009_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-10,010_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-11,011_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-12,012_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-13,013_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-14,014_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-15,015_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-16,016_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-17,017_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-18,018_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-19,019_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-20,020_23,Spring
0,FALSE,0,0,S,25,TRUE,NA,2022,not provided,Chinook Salmon,not provided,UBC,2023-01-21,021_23,Spring
0,FALSE,0,0,F,70,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-02-24,055_23,Fall
0,FALSE,0,0,F,70,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-02-25,056_23,Fall
0,FALSE,0,0,F,59,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-02-27,058_23,Fall
0,FALSE,0,0,F,59,TRUE,NA,2022,not provided,Chinook Salmon,not provided,LCC,2023-02-28,059_23,Fall
