fork_length,dead,weight,count,fws_run,r_catch,interp,age_class,brood_year,subsample,common_name,life_stage,station_code,sample_date,sample_id,run
114,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UCC,2023-12-05,339_23,not provided
126,FALSE,0,2,,2,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2023-12-30,364_23,not provided
140,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2023-12-30,364_23,not provided
86,FALSE,7.0999999,1,,1,FALSE,NA,2023,not provided,Rainbow Trout,parr,UCC,2023-12-24,358_23,not provided
40,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,UBC,2023-10-02,275_23,not provided
117,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2023-12-30,364_23,not provided
123,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2024-01-03,003_24,not provided
68,FALSE,0,1,,1,FALSE,NA,NA,not provided,Tule Perch,not provided,LCC,2024-02-15,046_24,not provided
77,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Riffle Sculpin,not provided,UBC,2024-02-29,060_24,not provided
116,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UCC,2023-12-26,360_23,not provided
127,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2024-01-21,021_24,not provided
35,FALSE,0,6,S,6,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,UCC,2023-12-19,353_23,Fall
99,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2024-01-27,027_24,not provided
125,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UBC,2024-03-09,069_24,not provided
58,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Riffle Sculpin,not provided,UBC,2023-12-09,343_23,not provided
36,FALSE,0,8,F,8,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2023-12-14,348_23,Fall
34,FALSE,0,3,F,3,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-01-20,020_24,Fall
86,FALSE,7,1,,1,FALSE,NA,2023,not provided,Rainbow Trout,parr,UCC,2023-10-23,296_23,not provided
104,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UBC,2023-10-18,291_23,not provided
35,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Unidentified Cyprinid fry,not provided,UBC,2024-01-23,023_24,not provided
49,FALSE,0,1,F,1,FALSE,NA,2023,not provided,Chinook Salmon,parr,LCC,2024-03-13,073_24,Fall
128,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,UBC,2024-01-15,015_24,not provided
113,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2024-01-27,027_24,not provided
100,FALSE,12.1,1,,1,FALSE,NA,2023,not provided,Rainbow Trout,silvery parr,UCC,2023-11-22,326_23,not provided
34,FALSE,0,2,S,2,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,UCC,2023-12-17,351_23,Fall
27,FALSE,0,1,,1,FALSE,NA,2024,not provided,Rainbow Trout,yolk sac fry,LCC,2024-02-13,044_24,not provided
23,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,UBC,2023-10-08,281_23,not provided
0,FALSE,0,1,,1,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,LCC,2024-01-15,015_24,not provided
34,FALSE,0,1,S,1,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,UCC,2023-12-18,352_23,Fall
36,FALSE,0,1,F,1,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2023-12-19,353_23,Fall
44,FALSE,0,2,F,2,FALSE,NA,2023,not provided,Chinook Salmon,parr,LCC,2024-02-12,043_24,Fall
35,FALSE,0,2,F,2,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-03-11,071_24,Fall
35,FALSE,0,1,S,1,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,UBC,2024-01-12,012_24,Fall
38,FALSE,0,1,F,1,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-01-29,029_24,Fall
78,FALSE,0,1,,1,FALSE,NA,NA,not provided,Green Sunfish,not provided,LCC,2024-01-01,001_24,not provided
44,FALSE,0,1,F,1,FALSE,NA,2023,not provided,Chinook Salmon,parr,LCC,2024-01-20,020_24,Fall
36,FALSE,0,2,S,2,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,UCC,2023-12-11,345_23,Spring
35,FALSE,0,1,F,1,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-03-20,080_24,Fall
35,FALSE,0,1,S,1,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,UBC,2024-02-29,060_24,Fall
35,FALSE,0,1,F,1,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-01-03,003_24,Fall
132,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2024-01-05,005_24,not provided
122,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2024-01-21,021_24,not provided
154,FALSE,43.700001,1,,1,FALSE,NA,2023,not provided,Rainbow Trout,silvery parr,UBC,2023-10-27,300_23,not provided
124,FALSE,0,2,,2,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2023-12-22,356_23,not provided
125,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2023-12-23,357_23,not provided
0,FALSE,0,24,F,24,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-01-04,004_24,Fall
35,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,UBC,2023-12-22,356_23,not provided
33,FALSE,0,1,S,1,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,UCC,2023-12-19,353_23,Fall
30,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,UBC,2023-10-16,289_23,not provided
131,FALSE,0,2,,NA,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,UBC,2024-01-23,023_24,not provided
125,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,UBC,2023-10-28,301_23,not provided
129,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,UBC,2024-01-23,023_24,not provided
0,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UBC,2024-03-08,068_24,not provided
54,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Riffle Sculpin,not provided,UCC,2024-03-16,076_24,not provided
109,FALSE,14.4,1,,1,FALSE,NA,2023,not provided,Rainbow Trout,parr,LCC,2023-12-21,355_23,not provided
127,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2024-01-02,002_24,not provided
33,FALSE,0,3,F,3,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2023-12-25,359_23,Fall
34,FALSE,0,1,F,1,FALSE,NA,2023,not provided,Chinook Salmon,yolk sac fry,LCC,2023-12-28,362_23,Fall
126,FALSE,0,2,,2,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2024-01-01,001_24,not provided
37,FALSE,0,1,F,1,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2023-12-16,350_23,Fall
0,FALSE,0,7,,NA,FALSE,NA,NA,not provided,Unidentified ammocoete,not provided,UBC,2024-01-13,014_24,not provided
37,FALSE,0,2,S,2,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2023-12-12,346_23,Spring
134,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2023-12-21,355_23,not provided
43,FALSE,0,1,F,1,FALSE,NA,2023,not provided,Chinook Salmon,parr,LCC,2024-01-24,024_24,Fall
93,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UCC,2023-11-15,319_23,not provided
90,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UBC,2024-02-11,042_24,not provided
35,FALSE,0,23,F,23,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-02-03,034_24,Fall
